JD,Bmag,Berr,Jmag,Jerr
2457060.83839,16.883,0.026,14.592,0.023
2457061.83952,16.822,0.016,14.585,0.015
2457063.83043,null,null,null,null
2457069.87944,16.787,0.008,14.388,0.012
2457071.81617,16.912,0.008,14.639,0.013
2457072.8075,16.87,0.008,14.603,0.014
2457077.76328,16.974,0.01,14.849,0.017
2457080.81121,16.957,0.009,14.723,0.016
2457083.79171,17.005,0.013,14.85,0.016
2457084.82019,16.972,0.013,14.795,0.015
2457085.8251,17.024,0.016,null,null
2457086.7537,16.947,0.022,14.95,0.017
2457087.80977,16.968,0.021,14.777,0.016
2457090.81132,16.966,0.021,14.766,0.015
2457091.81511,16.936,0.023,14.713,0.017
2457094.73879,16.925,0.013,14.662,0.015
2457098.77301,16.821,0.008,14.609,0.014
2457101.75121,16.921,0.01,14.815,0.018
2457104.77877,16.886,0.018,14.505,0.036
2457109.76985,null,null,14.639,0.015
2457110.74869,null,null,14.433,0.013
2457111.71652,16.731,0.011,14.539,0.014
2457112.83599,16.616,0.007,14.349,0.012
2457113.77994,16.577,0.01,14.196,0.01
2457114.73579,16.261,0.01,13.776,0.009
2457115.72483,16.477,0.014,14.075,0.01
2457116.64859,16.629,0.03,14.32,0.014
2457118.75467,16.552,0.02,14.181,0.013
2457122.64945,16.449,0.009,14.051,0.01
2457125.76544,15.918,0.005,13.125,0.006
2457126.75733,15.973,0.005,13.268,0.006
2457127.75234,15.921,0.012,13.396,0.014
2457129.72514,16.245,0.005,13.709,0.008
2457130.64958,16.305,0.007,13.719,0.009
2457131.75698,16.057,0.005,13.466,0.007
2457133.79411,15.778,0.004,13.069,0.006
2457135.72939,15.874,0.004,13.157,0.006
2457136.73357,15.788,0.004,13.099,0.006
2457137.64555,15.68,0.004,13.005,0.005
2457138.70283,15.696,0.004,13.008,0.006
2457140.69011,15.87,0.005,13.393,0.007
2457141.67543,15.806,0.006,13.294,0.007
2457143.64782,16.199,0.009,13.74,0.008
2457144.57213,null,null,13.545,0.049
2457145.58873,15.998,0.016,13.471,0.008
2457147.70837,null,null,13.377,0.007
2457150.63632,16.31,0.009,13.834,0.009
2457151.7038,16.294,0.008,13.825,0.009
